id	isolate	aliases	country	year	serotype	Sp_cgc_1000
1102	PN137		Italy	1999	14	
1103	1404		Italy	1999	6B	
1104	Pn102		Italy	1998	6B	
1105	IC130	1243	Iceland	1991	23F	
1106	IC141	1431	Iceland	1992	6B	
1107	IC184	2098	Iceland	1993	6	
1108	IC100	G203	Iceland	1993	6	
1109	IC222	94267	Iceland	1994	19	
1110	IC133	1288	Iceland	1992	6	
1111	IC138	1330	Iceland	1992	19	
1112	IC113	999	Iceland	1990	19	
1113	IC134	1297	Iceland	1992	23	
1114	IC173	1973	Iceland	1993	23	
1115	IC182	2086	Iceland	1993	23	
1116	IC157	1634	Iceland	1992	6	
1117	IC165	1807	Iceland	1993	6	
1118	IC153	1574	Iceland	1992	23	
1119	IC110	963	Iceland	1989	23	
1120	jan/34		UK [Scotland]	2001	22	
1121	00-2987		UK [Scotland]	2000	22	
1122	00-5238		UK [Scotland]	2000	31	
1123	00-2510		UK [Scotland]	2000	31	
1124	Feb-76		UK [Scotland]	2000	31	
1125	97-1156		UK [Scotland]	1997	5	
1126	01-1241		UK [Scotland]	2001	16	
1127	jan/96		UK [Scotland]	2001	27	
1128	jan/35		UK [Scotland]	2001	35	
1129	jan/15		UK [Scotland]	2001	23	
1130	96-3672		UK [Scotland]	1996	13	
1131	jan/55		UK [Scotland]	2001	29	
1132	01-1282		UK [Scotland]	2001	16	
1133	01-1199		UK [Scotland]	2001	NT	
1134	01-1204		UK [Scotland]	2001	8	
1135	00-3618		UK [Scotland]	2000	15	
1136	00-2875		UK [Scotland]	2000	24	
1137	00-5183		UK [Scotland]	2000	6A	
1138	00-1635		UK [Scotland]	2000	29	
1139	00-4162		UK [Scotland]	2000	15	
1140	jan/22		UK [Scotland]	2001	4	
1141	jan/30		UK [Scotland]	2001	10	
1142	01-1203		UK [Scotland]	2001	19F	
1143	01-1875		UK [Scotland]	2001	19	
1144	jan/73		UK [Scotland]	2001	22	
1145	00-5108		UK [Scotland]	2000	41	
